ID,Start time,Completion time,How often do you change the air flow in your car?,"Lets say that you are sitting in your car, ready to drive to work, and you think it blows too much from the air vents, what do you do?","When you change, do you usually change to","Lets say that you are sitting in your car, ready to drive to work, and you think it blows too much from the air vents, what do you do?2",What kind of car do you drive the most?,"Lets say that you are sitting in your car, ready to drive to work, and you think it blows too much from the air vents, what do you do?3",What direction du you usually move them?,"If you change, what is usually the main reason?2",How is the weather where you live?,Which air vents do you usually move away from you?,"When you move the air, which air vents do you change?",Which air vents do you usually change?,Which air vents do you usually move away from you?3,Which air vents do you usually move away from you?2,Which air vents do you usually change?,Which air vents do you usually change?2,Which city do you live in?
1,1/13/22 17:24:56,1/13/22 17:27:40,Often,,,,XC90,Change the air intensity using the center display,,Too high air intensity;i like to have a quite car that is why i usually turn down the air intesity on level 1 and automatic  air distribution.;,Cold : often below +15°C / 59°F,,,,,,,,Göteborg
2,1/13/22 17:25:55,1/13/22 17:27:50,Sometimes,Change the air intensity using the center display,,,V90 / S90,,Left,Warm air blowing on you as the car is heating up;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Goteborg
3,1/13/22 17:30:25,1/13/22 17:32:02,Rarely,,,,XC90,Change the air intensity using the center display,,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,,,,Åsa
4,1/13/22 17:31:51,1/13/22 17:33:38,Rarely,,,,XC90,Change the air intensity using the center display,,Cold air blowing on you as the car is cooling down;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,,,,Göteborg 
5,1/13/22 17:31:46,1/13/22 17:34:08,Sometimes,Move the air away from you,,,V90 / S90,,Right,You are warm and want more cold air blowing on you;Your eyes get dry;Too low air intensity;,Cold : often below +15°C / 59°F,,,,,B;C;,,,Göteborg
6,1/13/22 17:32:28,1/13/22 17:38:16,Sometimes,Move the air away from you,,,V90 / S90,,Up,Cold air blowing on you as the car is cooling down;, mixed -10 to +25 C,,,,,B;,,,Mölndal
7,1/13/22 17:36:55,1/13/22 17:38:29,Rarely,Change the air intensity using the center display,,,V90 / S90,,"A -> left, B ->right",You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;B;,,,Gothenburg
8,1/13/22 17:37:46,1/13/22 17:39:10,Sometimes,,No air,,XC90,Change the air intensity using the air vents,,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,,,A;B;,Gothenburg
9,1/13/22 17:54:32,1/13/22 17:56:07,Rarely,,,,XC90,Change the air intensity using the center display,,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,,,,"Uddevalla, Sweden"
10,1/13/22 17:57:53,1/13/22 18:00:26,Rarely,,,,XC90,Move the air away from you,Up,You are warm and want more cold air blowing on you;Warm air blowing on you as the car is heating up;,Cold : often below +15°C / 59°F,B;C;,,,,,,,Varberg
11,1/13/22 17:58:57,1/13/22 18:03:48,Sometimes,,,,XC90,Change the air intensity using the center display,,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,,,,Göteborg och 
12,1/13/22 18:18:03,1/13/22 18:19:51,Rarely,Move the air away from you,,,V90 / S90,,Right,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg 
13,1/13/22 18:20:35,1/13/22 18:24:08,Rarely,,,,XC90,Change the air intensity using the center display,,It’s a bit noisy or the the cold air is too “focused” from the airvents ;,Cold : often below +15°C / 59°F,,,,,,,,Göteborg
14,1/13/22 18:45:44,1/13/22 18:47:13,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Right,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg 
15,1/13/22 18:47:11,1/13/22 18:48:25,Rarely,,,,XC90,Move the air away from you,Down,Your eyes get dry;Too high air intensity;,Cold : often below +15°C / 59°F,A;B;,,,,,,,Gothenburg
16,1/13/22 18:46:55,1/13/22 18:49:16,Sometimes,Move the air away from you,,,V90 / S90,,Right,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Kungsbacka
17,1/13/22 18:46:18,1/13/22 18:50:54,Sometimes,Change the air intensity using the center display,,,V90 / S90,,left and right,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;D;,,,Gothenburg
18,1/13/22 18:51:32,1/13/22 18:53:16,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,Cold air blowing on you as the car is cooling down;,Cold : often below +15°C / 59°F,,,,,B;,,,Gothenburg
19,1/13/22 18:51:29,1/13/22 18:54:14,Sometimes,Move the air away from you,,,V60 / S60 / XC60,,Right,Your eyes get dry;Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;D;,,,Gothenburg
20,1/13/22 18:51:44,1/13/22 18:54:34,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,You are warm and want more cold air blowing on you;,Mixed: often between +15°C / 59°F  to +25°C / +77°F,,,,,B;A;,,,Gothenburg
21,1/13/22 18:53:00,1/13/22 18:55:00,Sometimes,Change the air intensity using the center display,,,V60 / S60 / XC60,,Left,Too high air intensity;,Cold : often below +15°C / 59°F,,,,,A;,,,Landvetter
22,1/13/22 18:56:45,1/13/22 18:58:50,Rarely,Move the air away from you,,,V60 / S60 / XC60,,Right,You are cold and want more warm air blowing on you;,Cold : often below +15°C / 59°F,,,,,B;,,,Bohus-Björkö
23,1/13/22 19:00:07,1/13/22 19:03:55,Rarely,Change the air intensity using the center display,,,V90 / S90,,I almost never move them so I cant say,Too high air intensity;You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;,,,Göteborg
24,1/13/22 19:02:47,1/13/22 19:05:42,Rarely,Change the air intensity using the center display,,,V60 / S60 / XC60,,Left,You are warm and want more cold air blowing on you;,Cold : often below +15°C / 59°F,,,,,A;,,,Alingsås
